ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target
ID_03V06TZ,12/03/10,11/03/11,Female,39,12/03/10,1,Saloon,Black,Honda,Alimosho,Lagos,Car Classic,0
ID_042RNAI,12/02/10,11/02/11,Male,40,12/02/10,1,Saloon,,Honda,,,CarSafe,0
ID_046FQ5I,25/04/10,09/04/11,Male,47,25/04/10,1,JEEP,Black,Ford,"Okpe, Delta State",Delta,Car Classic,0
ID_04C9IRV,25/12/10,24/04/11,Female,36,25/12/10,1,,,,,,Car Classic,0
ID_04FP4M2,13/01/10,12/01/11,Female,47,13/01/10,3,JEEP,,Lexus,Asaba,Delta,Car Classic,1
ID_04JEN82,08/03/10,09/02/11,Male,41,08/03/10,2,Saloon,Silver,TOYOTA,IbadanCentral,Benue,Car Plus,0
ID_04RDLQY,08/07/10,07/07/11,Male,42,08/07/10,3,Truck,Green,Iveco,Abeokuta,Ogun,CVTP,0
ID_04RZ9TY,15/04/10,14/04/11,Male,38,15/04/10,1,Saloon,Green,TOYOTA,,,Car Classic,0
ID_04Z1VXP,09/09/10,08/09/11,Female,27,09/09/10,1,,,,,,Car Classic,0
ID_052YTIW,06/06/10,05/06/11,Male,42,06/06/10,1,Saloon,Red,TOYOTA,Lekki,Lagos,Car Classic,1
ID_0559SH8,20/05/10,19/05/11,Male,39,20/05/10,1,Saloon,Grey,Honda,,,Car Classic,0
ID_0577HW2,26/04/10,25/04/11,Female,30,26/04/10,2,Saloon,Black,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0
ID_058FZ64,23/04/10,22/04/11,Female,64,23/04/10,1,Saloon,Black,TOYOTA,,,Car Classic,0
ID_058YC0S,28/11/10,27/11/11,,120,28/11/10,1,JEEP,Black,Lexus,Victoria Island,Lagos,Customized Motor,0
ID_05CDD8E,31/07/10,30/07/11,Male,36,31/07/10,1,Saloon,,Volkswagen,,,CarSafe,0
ID_05FC0AD,04/07/10,03/07/11,Female,50,04/07/10,1,Saloon,,TOYOTA,OBANIKORO,Benue,Car Classic,0
ID_05HTYFW,15/08/10,14/08/11,Female,53,15/08/10,1,Saloon,,TOYOTA,,,CarSafe,0
ID_05R7YFI,18/02/10,17/02/11,Male,37,18/02/10,1,JEEP,Ash,Lexus,Agege,Lagos,Car Classic,1
ID_05RDR1E,21/08/10,16/07/11,Male,33,21/08/10,2,,,,ISHERI,Benue,Car Classic,0
ID_05ROASD,17/09/10,16/09/11,Male,23,17/09/10,1,,,,,,Car Classic,0
ID_05VUW92,26/07/10,01/03/11,Male,47,26/07/10,1,,,,,,Car Classic,0
ID_063CV9E,20/09/10,19/09/11,Male,47,20/09/10,1,,,,,,CarSafe,0
ID_063MQH3,09/10/10,08/04/11,Male,45,09/10/10,1,Saloon,Blue,TOYOTA,Kosofe,Benue,Car Classic,1
ID_067V50A,04/04/10,02/04/11,Male,32,04/04/10,1,Saloon,,Mercedes,,,CarSafe,0
ID_06A4GSU,26/11/10,25/11/11,Male,59,26/11/10,1,,,,,,Car Classic,0
ID_06BSIZB,17/01/10,16/01/11,Male,30,17/01/10,1,Saloon,,Nissan,,,CarSafe,0
ID_06CA2IY,13/05/10,10/04/11,Female,60,13/05/10,1,Saloon,,TOYOTA,IbadanCentral,Benue,Car Classic,1
ID_06HCAU1,19/06/10,14/04/11,Male,37,19/06/10,1,Truck,White,DAF,OGUN,Ogun,CVTP,0
ID_06MWQX4,11/07/10,10/07/11,Female,37,11/07/10,1,Saloon,,TOYOTA,,,CarSafe,0
ID_06TZLPR,06/11/10,06/08/11,Male,52,06/11/10,3,Saloon,Blue,TOYOTA,Apapa,Lagos,Car Classic,0
ID_06WKCVO,28/04/10,27/04/11,Male,54,28/04/10,1,JEEP,,Honda,Ibadan South West,Ibadan-West,Car Plus,0
ID_070SYAE,17/04/10,16/04/11,,120,17/04/10,1,JEEP,Silver,Lexus,Victoria Island,Lagos,Customized Motor,0
ID_075PIAF,17/10/10,16/10/11,Female,40,17/10/10,1,,,,,,CarSafe,0
ID_076DFB7,08/08/10,07/08/11,Joint Gender,1,08/08/10,1,,,,,,CarSafe,0
ID_0785NAL,17/05/10,15/05/11,Male,44,17/05/10,1,Saloon,,Hyundai,,,CarSafe,0
ID_0790YUZ,30/09/10,13/08/11,Female,11,30/09/10,3,,,,Victoria Island,Lagos,Car Classic,0
ID_079GMOS,10/04/10,09/04/11,Entity,20,10/04/10,2,,,TOYOTA,Victoria Island,Lagos,Car Classic,0
ID_07L368O,16/09/10,31/12/10,,120,16/09/10,4,,,,Victoria Island,Lagos,Muuve,1
ID_07LQ83J,23/10/10,22/10/11,Male,78,23/10/10,2,Saloon,,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0
ID_07Q2HUE,25/03/10,24/03/11,Male,20,25/03/10,1,Saloon,,TOYOTA,,,CarSafe,0
ID_07SVRHZ,23/08/10,22/08/11,Female,28,23/08/10,1,,,,,,Car Classic,0
ID_08833XP,23/05/10,22/05/11,Female,42,23/05/10,1,JEEP,Gray & Gray,Honda,,,Car Classic,0
ID_088DOQ3,07/01/10,06/01/11,Female,50,07/01/10,2,Saloon,Black,TOYOTA,Ikeja,Lagos,Car Classic,1
ID_08EMHRD,23/07/10,22/07/11,Female,37,23/07/10,1,Saloon,White,TOYOTA,,,Car Classic,0
ID_08QV44L,24/07/10,13/06/11,Female,34,24/07/10,1,Bus,Blue,TOYOTA,,,Car Classic,0
ID_091T5SH,05/07/10,31/12/10,,120,05/07/10,4,,As Attached,.,Victoria Island,Lagos,Muuve,0
ID_094BCZS,17/09/10,16/09/11,Male,44,17/09/10,1,Saloon,Black,Mercedes,Victoria Island,Lagos,Car Classic,0
ID_097A14O,30/07/10,29/07/11,Entity,120,30/07/10,2,,,,Victoria Island,Lagos,CVTP,0
ID_09BCKQW,24/07/10,23/07/11,Male,39,24/07/10,2,Saloon,Black,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,0
ID_09E0NR0,16/09/10,15/09/11,Female,29,16/09/10,1,,,,,,Car Classic,0
ID_09ECI55,01/02/10,31/01/11,Female,32,01/02/10,1,Saloon,Wine,TOYOTA,Surulere,Lagos,Car Classic,0
ID_09IHZ9D,12/12/10,10/08/11,,57,12/12/10,1,Saloon,Grey,Pontiac,Ibadan South East,Ibadan-East,Customized Motor,0
ID_09M1LIC,11/02/10,10/02/11,Male,38,11/02/10,1,Saloon,,TOYOTA,Sapele,Delta,Car Classic,0
ID_09MIIAB,15/01/10,14/01/11,Female,12,15/01/10,3,Saloon,,TOYOTA,Victoria Island,Lagos,Customized Motor,0
ID_09N5ZQL,04/04/10,03/04/11,Male,53,04/04/10,2,Saloon,Black,Honda,Abuja Municipal,Abuja-Municipal,Car Classic,0
ID_09OYXKX,12/02/10,11/02/11,Female,65,12/02/10,1,Saloon,,Mercedes,,,CarSafe,0
ID_09TVK15,12/01/10,11/01/11,Female,32,12/01/10,1,Saloon,,TOYOTA,,,Car Classic,0
ID_09YO39R,19/07/10,18/07/11,,20,19/07/10,1,Motorcycle,As Attached,.,Lekki,Lagos,Motor Cycle,0
ID_0A94GFU,30/10/10,29/10/11,Female,30,30/10/10,1,,,,,,CarSafe,0
ID_0AJ12UF,27/03/10,26/03/11,Male,48,27/03/10,1,JEEP,,TOYOTA,Oshodi-Isolo,Oshodi-Isolo,Customized Motor,0
ID_0AP9C8K,23/10/10,27/05/11,Female,37,23/10/10,2,Saloon,Black,TOYOTA,Kaduna South,Kaduna-South,Car Classic,0
ID_0AU7A1K,12/12/10,11/12/11,Male,37,12/12/10,1,,,,,,Car Classic,0
ID_0B5W1GU,08/02/10,07/02/11,Female,50,08/02/10,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0B7IUMF,13/11/10,12/11/11,Male,53,13/11/10,2,,White,Range Rover,Ikorodu,Lagos,Car Classic,0
ID_0BBIOBG,17/05/10,16/05/11,Female,44,17/05/10,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0BN4W5V,01/07/10,31/12/10,Male,35,01/07/10,2,JEEP,As Attached,Lexus,,,Car Classic,0
ID_0BNN4SR,31/07/10,30/07/11,Female,120,31/07/10,1,Saloon,Black,TOYOTA,Victoria Island,Lagos,Car Classic,0
ID_0BUJCEP,16/12/10,15/12/11,Female,73,16/12/10,2,JEEP,,TOYOTA,Amuwo-Odofin,Amuwo-Odofin,Customized Motor,0
ID_0BXLGTA,27/12/10,26/12/11,Male,34,27/12/10,1,JEEP,,Lexus,Awka,Anambra,Car Classic,0
ID_0C14U0E,11/10/10,09/10/11,Male,41,11/10/10,1,,,,,,CarSafe,0
ID_0C6NVMA,25/02/10,24/02/11,Female,56,25/02/10,1,JEEP,,Hyundai,,,CarSafe,0
ID_0CIS10Q,18/11/10,17/11/11,,120,18/11/10,2,,,,Victoria Island,Lagos,Motor Cycle,0
ID_0CJO0AT,02/08/10,08/07/11,Female,29,02/08/10,1,,,,,,Car Classic,0
ID_0CM4BI3,26/10/10,25/10/11,Male,36,26/10/10,1,Saloon,,Honda,,,CarSafe,0
ID_0CW58L7,26/03/10,25/03/11,Female,56,26/03/10,1,JEEP,Black,Nissan,Lagos Mainland,Lagos,Car Classic,0
ID_0D03EM0,02/03/10,01/03/11,Female,44,02/03/10,1,Saloon,Ash,TOYOTA,GBAGADA,Benue,Car Classic,0
ID_0D2UBKM,06/08/10,05/08/11,Male,34,06/08/10,1,Saloon,Red,TOYOTA,,,Car Classic,1
ID_0D57898,20/08/10,17/02/11,Male,55,20/08/10,3,,,,Lekki,Lagos,Car Classic,0
ID_0DB63CB,02/07/10,01/07/11,Female,26,02/07/10,1,JEEP,Black,Honda,Port Harcourt,Rivers,Car Classic,1
ID_0DGZCRK,10/12/10,09/12/11,,38,10/12/10,1,Saloon,,Volkswagen,Victoria Island,Lagos,CarSafe,0
ID_0DLE3E9,30/01/10,29/01/11,Male,20,30/01/10,1,Saloon,,Kia,,,CarSafe,0
ID_0DQURZJ,12/11/10,11/11/11,Male,49,12/11/10,1,,,,,,CarSafe,0
ID_0E0GIOO,24/07/10,15/01/11,Female,38,24/07/10,1,JEEP,Wine,TOYOTA,Lekki,Lagos,Car Classic,0
ID_0E461H1,16/05/10,14/05/11,Male,42,16/05/10,1,Saloon,Black,TOYOTA,,,Car Classic,0
ID_0E4K0GF,07/08/10,06/08/11,Male,31,07/08/10,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0EARV5X,21/01/10,20/01/11,Male,43,21/01/10,1,Saloon,Green,Honda,Kosofe,Benue,Car Classic,0
ID_0EHKMTL,04/09/10,03/09/11,Male,50,04/09/10,2,JEEP,Black,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0
ID_0EJ4LR3,11/01/10,10/01/11,Male,38,11/01/10,1,,As Attached,Lexus,Surulere,Lagos,Car Classic,0
ID_0ELAKXI,04/02/10,03/02/11,Male,30,04/02/10,2,Saloon,Black,Honda,Obia/Akpor,Obia-Akpor,Car Classic,1
ID_0EM6LSO,26/03/10,24/03/11,Female,65,26/03/10,1,JEEP,Black,TOYOTA,Lagos Mainland,Lagos,Car Classic,0
ID_0EMO48C,15/02/10,14/02/11,,50,15/02/10,1,,White,Mitsubishi,Victoria Island,Lagos,CVTP,0
ID_0ENFSCX,15/08/10,14/08/11,Male,20,15/08/10,1,,,TOYOTA,Ikeja,Lagos,Car Classic,0
ID_0EQQYES,29/08/10,28/08/11,Male,35,29/08/10,2,,Silver,TOYOTA,,,Car Classic,1
ID_0ESEOON,21/08/10,06/08/11,Male,20,21/08/10,1,,,Iveco,Abeokuta,Ogun,CVTP,0
ID_0ESTG4D,09/08/10,08/08/11,Joint Gender,35,09/08/10,1,,,,,,CarSafe,0
ID_0EYU1TC,16/03/10,15/03/11,Male,36,16/03/10,2,Saloon,Ash,TOYOTA,,,Car Classic,0
ID_0F0ZI7B,21/10/10,20/10/11,Male,70,21/10/10,1,,,TOYOTA,Minna,Niger-State,Car Plus,0
ID_0F1JIXI,03/06/10,02/06/11,Female,60,03/06/10,1,,Black,Lexus,IbadanCentral,Benue,Car Classic,1
ID_0F1PDB1,31/05/10,30/05/11,Male,38,31/05/10,1,Saloon,Grey,TOYOTA,,,Car Classic,1
ID_0F3IJXA,16/01/10,15/01/11,Female,45,16/01/10,1,,,TOYOTA,Shomolu,Benue,Car Classic,1
ID_0F5MJ5K,19/12/10,17/11/11,Male,37,19/12/10,1,Saloon,Black,Honda,,,Car Classic,1
ID_0F6TNYQ,21/05/10,03/05/11,Male,30,21/05/10,1,,As Attached,Scania,Benin,Edo,CVTP,0
ID_0F7BHGK,04/02/10,03/02/11,Entity,18,04/02/10,1,Saloon,,Hyundai,Victoria Island,Lagos,Customized Motor,1
ID_0F7DPHC,12/12/10,11/12/11,Female,35,12/12/10,1,,,,,,CarSafe,0
ID_0FIFLYO,28/06/10,26/06/11,Female,27,28/06/10,1,Saloon,,TOYOTA,,,Car Classic,0
ID_0FP7360,09/12/10,22/10/11,Male,46,09/12/10,1,JEEP,Black,TOYOTA,Surulere,Lagos,Car Classic,0
ID_0FRE9RN,24/10/10,23/10/11,Male,30,24/10/10,1,,,,,,CarSafe,0
ID_0FYEA7B,02/07/10,30/06/11,Female,32,02/07/10,1,Saloon,,Lexus,,,CarSafe,0
ID_0G2PBAI,14/11/10,13/11/11,Female,38,14/11/10,1,Saloon,,Hyundai,,,CarSafe,0
ID_0G53YNR,07/05/10,05/05/11,Male,47,07/05/10,1,Saloon,,TOYOTA,,,Car Classic,0
ID_0G5JBV3,24/12/10,23/12/11,Female,52,24/12/10,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0G85YVU,14/06/10,13/06/11,Female,60,14/06/10,1,Saloon,,TOYOTA,Lagos Island,Lagos,Car Classic,0
ID_0GHLS5X,03/12/10,02/12/11,Male,45,03/12/10,2,,White,BMW,Eti-Osa,Eti-Osa,Customized Motor,0
ID_0GIIW66,26/01/10,25/01/11,Female,45,26/01/10,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0GJ23TT,02/10/10,30/09/11,Male,39,02/10/10,1,,,,,,CarSafe,0
ID_0GNVQFF,14/11/10,14/04/11,Male,40,14/11/10,2,Saloon,Wine,Pontiac,,,Car Classic,0
ID_0GO0K5A,10/01/10,09/01/11,Male,51,10/01/10,1,Saloon,Red,Hyundai,Central,Benue,Car Classic,0
ID_0GR2QRL,19/04/10,18/04/11,Male,48,19/04/10,1,,,Lexus,Oshodi-Isolo,Oshodi-Isolo,Customized Motor,0
ID_0GVDM31,11/01/10,10/01/11,Male,58,11/01/10,3,Saloon,Silver,TOYOTA,Ikeja,Lagos,Car Classic,0
ID_0GVEZFQ,23/10/10,22/10/11,Male,39,23/10/10,2,,,Honda,Surulere,Lagos,Car Classic,0
ID_0GVFN13,13/09/10,12/09/11,Female,44,13/09/10,1,,,,,,CarSafe,0
ID_0H49SVS,25/02/10,24/02/11,Male,43,25/02/10,1,Saloon,Brown,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,1
ID_0HK4TFC,11/06/10,09/03/11,Female,36,11/06/10,1,Saloon,,Mercedes,Lagos Island,Lagos,Car Classic,0
ID_0HO82AC,04/07/10,03/07/11,Male,53,04/07/10,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0HOD99L,12/12/10,11/12/11,Female,14,12/12/10,1,,,,,,CarSafe,0
ID_0HWAFTI,14/08/10,13/08/11,Male,40,14/08/10,1,,,,,,CarSafe,0
ID_0I6NUTV,11/02/10,30/01/11,Male,44,11/02/10,1,,Red & Blue,Iveco,Victoria Island,Lagos,CVTP,0
ID_0I7MKL8,17/10/10,16/10/11,Female,34,17/10/10,1,,,,,,CarSafe,0
ID_0I7WSXN,14/01/10,13/01/11,Male,41,14/01/10,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0IFDCEJ,07/12/10,10/08/11,Female,42,07/12/10,2,,,Mercedes,Victoria Island,Lagos,Car Classic,0
ID_0IGLH7L,12/01/10,11/01/11,Male,40,12/01/10,1,Saloon,Gold,TOYOTA,Ebute-Metta,Lagos,Car Classic,0
ID_0IKQ9XJ,20/07/10,19/07/11,Male,43,20/07/10,2,,Blue,TOYOTA,Ketu,Lagos,Car Classic,1
ID_0ILENCN,21/05/10,20/05/11,Male,55,21/05/10,3,JEEP,Black,TOYOTA,Victoria Island,Lagos,Customized Motor,0
ID_0ILP3VL,13/09/10,12/09/11,Male,47,13/09/10,4,Saloon,Black,Nissan,,,Car Classic,1
ID_0INKY4L,20/12/10,19/12/11,Male,120,20/12/10,1,,,,Victoria Island,Lagos,Car Classic,0
ID_0INLN8R,07/06/10,06/06/11,Male,37,07/06/10,3,Saloon,,TOYOTA,,,CarSafe,0
ID_0IRFUYB,06/06/10,05/06/11,Female,37,06/06/10,1,JEEP,Black,TOYOTA,Uyo,Akwa-Ibom,Car Classic,0
ID_0J58IN3,05/07/10,31/12/10,,120,05/07/10,4,,,Mitsubishi,Victoria Island,Lagos,Muuve,0
ID_0J9QBCJ,16/09/10,31/12/10,,120,16/09/10,4,,,Lexus,Victoria Island,Lagos,Muuve,1
ID_0JHDAXS,05/12/10,04/12/11,Male,31,05/12/10,1,,,,,,CarSafe,0
ID_0JPMW2P,23/12/10,21/04/11,Male,38,23/12/10,1,,,,,,Car Classic,0
ID_0JXGM6N,22/11/10,21/11/11,Male,40,22/11/10,1,,,,,,CarSafe,0
ID_0K1BO9A,20/09/10,19/09/11,Male,62,20/09/10,1,Saloon,,TOYOTA,Sapele,Delta,CarSafe,0
ID_0K1VPIE,04/03/10,03/03/11,Male,41,04/03/10,1,Saloon,Blue,TOYOTA,Mushin,Lagos,Car Classic,0
ID_0K7QW76,04/04/10,02/04/11,Male,32,04/04/10,1,Saloon,,Honda,,,Car Classic,0
ID_0KCF3AO,30/04/10,29/04/11,Male,49,30/04/10,1,JEEP,,TOYOTA,Lagos Mainland,Lagos,Car Classic,0
ID_0KDYXJL,28/06/10,27/06/11,Female,44,28/06/10,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0KED35N,12/09/10,11/09/11,Female,25,12/09/10,1,,,,,,Car Classic,0
ID_0KG1GAY,29/10/10,28/10/11,Male,31,29/10/10,1,,,,,,Car Classic,1
ID_0KN7C3J,05/03/10,04/03/11,Male,61,05/03/10,1,Saloon,,Infiniti,,,CarSafe,0
ID_0KVEKCF,09/09/10,08/09/11,Female,34,09/09/10,1,Saloon,Red,TOYOTA,Alimosho,Lagos,Car Classic,0
ID_0KX531O,30/11/10,29/11/11,Female,40,30/11/10,1,Saloon,Black,TOYOTA,,,Car Classic,0
ID_0KZ4T8I,24/09/10,23/09/11,Male,28,24/09/10,1,,,,,,CarSafe,0
ID_0L2GHKC,01/08/10,31/07/11,Male,50,01/08/10,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0L4IT7F,20/06/10,19/06/11,Male,62,20/06/10,2,JEEP,Black,Honda,Katagum,Benue,Car Classic,0
ID_0L92127,14/03/10,13/03/11,Female,43,14/03/10,1,JEEP,Silver,TOYOTA,,,Car Plus,0
ID_0L9531Y,07/10/10,06/10/11,Male,51,07/10/10,1,Saloon,,BMW,Benin,Edo,Car Classic,0
ID_0LQA24Z,29/11/10,28/11/11,Male,53,29/11/10,1,JEEP,,Ford,,,CarSafe,0
ID_0LQJSMC,13/12/10,12/12/11,Male,33,13/12/10,1,Saloon,Gold,Lexus,,,Car Classic,0
ID_0LX75FI,09/08/10,08/08/11,Female,50,09/08/10,1,Saloon,Grey,TOYOTA,,,Car Classic,0
ID_0M2HTZ9,04/04/10,03/04/11,Male,37,04/04/10,1,Saloon,,Lexus,ENUGU EAST,ENUGU-EAST,Car Classic,1
ID_0M4JBB4,13/09/10,12/09/11,Female,41,13/09/10,1,Saloon,Red,Renault,,,Car Classic,0
ID_0M86A7W,25/10/10,19/06/11,Male,31,25/10/10,1,,,,,,Car Classic,1
ID_0MG4G6P,08/01/10,07/01/11,Male,37,08/01/10,1,Saloon,As Attached,Hyundai,,,Car Classic,1
ID_0MH3UFI,06/08/10,05/08/11,Male,36,06/08/10,1,Saloon,White,TOYOTA,,,Car Classic,0
ID_0MHS52N,23/05/10,21/05/11,Male,51,23/05/10,1,JEEP,,Ford,Eti-Osa,Eti-Osa,CarSafe,0
ID_0MJ9TSG,14/03/10,13/03/11,Male,40,14/03/10,1,Saloon,,Honda,,,CarSafe,0
ID_0MJUX0Q,30/04/10,29/04/11,Male,40,30/04/10,1,Saloon,,Honda,,,CarSafe,0
ID_0MKSPPQ,04/03/10,03/03/11,Female,43,04/03/10,2,,,Volkswagen,,,Car Classic,0
ID_0MM2LNR,13/02/10,13/01/11,Male,72,13/02/10,2,,,TOYOTA,Oredo,Benue,Car Classic,0
ID_0MRR0OX,12/04/10,11/04/11,Male,45,12/04/10,1,Saloon,Black,Honda,,,CarSafe,0
ID_0MSQ5JJ,13/12/10,12/12/11,Male,33,13/12/10,1,Saloon,,Honda,,,CarSafe,0
ID_0N28F78,02/10/10,01/10/11,Male,32,02/10/10,1,,,,,,CarSafe,0
ID_0N2X552,15/04/10,03/01/11,Female,33,15/04/10,1,Saloon,Green,Honda,Amuwo-Odofin,Amuwo-Odofin,Car Classic,0
ID_0N7V9K3,24/09/10,19/09/11,Male,52,24/09/10,1,,,,ISHERI,Benue,Car Classic,1
ID_0NGIBX4,16/05/10,15/05/11,Male,42,16/05/10,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0NIL8EF,08/02/10,07/02/11,Male,42,08/02/10,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0NJ07AU,07/11/10,06/11/11,Male,49,07/11/10,2,Saloon,,Hyundai,,,CarSafe,0
ID_0NXMWEE,21/02/10,20/02/11,Male,30,21/02/10,1,Saloon,Silver,TOYOTA,,,Car Classic,1
ID_0O545WK,02/01/10,01/01/11,Female,82,02/01/10,1,Saloon,,Hyundai,,,CarSafe,0
ID_0OBXCP6,28/03/10,27/03/11,Male,57,28/03/10,1,JEEP,,Hyundai,,,CarSafe,0
ID_0OH05TQ,20/03/10,19/03/11,Male,39,20/03/10,1,JEEP,Wine,TOYOTA,Ikeja,Lagos,Car Classic,0
ID_0OI8Z57,18/04/10,17/04/11,,120,18/04/10,2,,,TOYOTA,Abuja,Abuja,Car Classic,0
ID_0P861G4,04/02/10,03/02/11,Entity,18,04/02/10,1,,Black,Hyundai,Victoria Island,Lagos,Customized Motor,1
ID_0PKTK51,29/06/10,28/06/11,Male,69,29/06/10,1,Saloon,,TOYOTA,,,CarSafe,0
